"","ScientificName","CommonName","Sex","Minimum length at first maturity","Mean length at first maturity (Lm)","Measurement type","Country","Locality","Reference"
"146","Acipenser fulvescens","Lake sturgeon","Female",900,NA,"TL",NA,"Not specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>"
"147","Acipenser fulvescens","Lake sturgeon","Male",850,NA,"TL",NA,"Not specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>"
"148","Acipenser medirostris","Green sturgeon","Mixed",1000,NA,"TL",NA,"Not specified.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>"
"149","Acipenser medirostris","Green sturgeon","Unsexed",NA,1000,"TL","Russian Federation","Sea of Japan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=56557 target='_blank' >Novikov et al. 2002</a>"
"150","Acipenser oxyrinchus","Atlantic sturgeon","Female",1829,NA,NA,"United States","Hudson River, New York","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4639 target='_blank' >Jones et al. 1978</a>"
"151","Acipenser oxyrinchus","Atlantic sturgeon","Female",NA,1900,"TL","United States","St. Lawrence River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1998</a>"
"153","Acipenser oxyrinchus","Atlantic sturgeon","Male",1219,NA,NA,"United States","Hudson River, New York","<a href=http://fishbase.ca/references/FBRefSummary.php?id=4639 target='_blank' >Jones et al. 1978</a>"
"154","Acipenser oxyrinchus","Atlantic sturgeon","Male",NA,1650,"TL","United States","St. Lawrence River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1998</a>"
"159","Acipenser transmontanus","White sturgeon","Unsexed",NA,1120,NA,"United States","California","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"162","Acipenser transmontanus","White sturgeon","Female",NA,1600,"FL",NA,"Lower Columbia River","<a href=http://fishbase.ca/references/FBRefSummary.php?id=34045 target='_blank' >DeVore et al. 1995</a>"
"168","Alosa mediocris","Hickory shad","Female",NA,320,"TL","United States","Not specified","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38619 target='_blank' >Mansueti 1962</a>"
"169","Alosa mediocris","Hickory shad","Male",NA,287,"TL","United States","Not specified","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38619 target='_blank' >Mansueti 1962</a>"
"171","Alosa pseudoharengus","Alewife","Female",110,NA,"SL","Canada","Lake Ontario","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38946 target='_blank' >Graham 1956</a>"
"173","Alosa pseudoharengus","Alewife","Male",95.5,NA,"SL","Canada","Lake Ontario","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38946 target='_blank' >Graham 1956</a>"
"175","Alosa pseudoharengus","Alewife","Mixed",NA,158,"TL","United States","Lake Michigan","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38634 target='_blank' >Norden 1967</a>"
"176","Alosa pseudoharengus","Alewife","Mixed",NA,131,"TL","United States","Lake Ontario, 1978-92","<a href=http://fishbase.ca/references/FBRefSummary.php?id=52208 target='_blank' >Hanel 1992</a>"
"178","Alosa sapidissima","American shad","Female",383,NA,"FL","United States","St John's River, Florida","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38973 target='_blank' >Walburg 1960</a>"
"179","Alosa sapidissima","American shad","Male",305,NA,"FL","United States","St. John's River, Florida","<a href=http://fishbase.ca/references/FBRefSummary.php?id=38973 target='_blank' >Walburg 1960</a>"
"186","Amia calva","Bowfin","Female",610,NA,NA,NA,"North America","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1998</a>"
"187","Amia calva","Bowfin","Male",457,NA,NA,NA,"North America","<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1998</a>"
"190","Amia calva","Bowfin","Female",380,NA,"TL","United States","Chesapeake Bay","<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>"
"191","Anguilla rostrata","American eel","Unsexed",353,NA,"TL","United States","Altamaha River, Georgia, 1980-81","<a href=http://fishbase.ca/references/FBRefSummary.php?id=7130 target='_blank' >Helfman et al. 1984</a>"
"192","Anguilla rostrata","American eel","Female",370,NA,"TL","United States","Chesapeake Bay.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>"
"193","Anguilla rostrata","American eel","Male",220,NA,"TL","United States","Chesapeake Bay.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>"
"195","Catostomus catostomus","Longnose sucker","Unsexed",130,NA,"FL",NA,"Frye Creek, Sixteen Mile Lake","<a href=http://fishbase.ca/references/FBRefSummary.php?id=10928 target='_blank' >Geen et al. 1966</a>"
"201","Catostomus commersonii","White sucker","Unsexed",230,NA,"FL",NA,"Frye Creek, Sixteenmile Lake","<a href=http://fishbase.ca/references/FBRefSummary.php?id=10928 target='_blank' >Geen et al. 1966</a>"
"203","Catostomus platyrhynchus","Mountain sucker","Female",143,NA,"TL","United States","Lost Creek Reservoir, Utah, 1977","<a href=http://fishbase.ca/references/FBRefSummary.php?id=48536 target='_blank' >Wydoski et al. 2002</a>"
"204","Catostomus platyrhynchus","Mountain sucker","Female",127,NA,"TL","United States","Montana streams","<a href=http://fishbase.ca/references/FBRefSummary.php?id=48879 target='_blank' >Hauser 1969</a>"
"205","Catostomus platyrhynchus","Mountain sucker","Female",106,NA,"TL","United States","Shoal Creek, Utah and Bitter Creek, Wyoming","<a href=http://fishbase.ca/references/FBRefSummary.php?id=10452 target='_blank' >Smith 1966</a>"
"206","Catostomus platyrhynchus","Mountain sucker","Male",115,NA,"TL","United States","Lost Creek Reservoir, Utah, 1977","<a href=http://fishbase.ca/references/FBRefSummary.php?id=48536 target='_blank' >Wydoski et al. 2002</a>"
"207","Catostomus platyrhynchus","Mountain sucker","Male",107,NA,"TL","United States","Montana streams","<a href=http://fishbase.ca/references/FBRefSummary.php?id=48879 target='_blank' >Hauser 1969</a>"
"208","Catostomus platyrhynchus","Mountain sucker","Male",76,NA,"TL","United States","Shoal Creek, Utah and Bitter Creek, Wyoming","<a href=http://fishbase.ca/references/FBRefSummary.php?id=10452 target='_blank' >Smith 1966</a>"
"209","Clupea harengus","Atlantic herring","Unsexed",NA,250,NA,"Canada","New Brunswick","<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>"
"210","Clupea harengus","Atlantic herring","Unsexed",NA,300,NA,NA,"Southern Gulf of St. Lawrence","<a href=http://fishbase.ca/references/FBRefSummary.php?id=2809 target='_blank' >Jennings et al. 1991</a>"
"211","Clupea harengus","Atlantic herring","Unsexed",NA,325,NA,NA,"Southern Gulf of St. Lawrence.","<a href=http://fishbase.ca/references/FBRefSummary.php?id=2809 target='_blank' >Jennings et al. 1991</a>"
"213","Clupea harengus","Atlantic herring","Female",NA,254,"TL","United States","Northeastern coast, 1987-89","<a href=http://fishbase.ca/references/FBRefSummary.php?id=12186 target='_blank' >O'Brien et al. 1993</a>"
"214","Clupea harengus","Atlantic herring","Male",NA,253,"TL","United States","Northeastern coast, 1987-89","<a href=http://fishbase.ca/references/FBRefSummary.php?id=12186 target='_blank' >O'Brien et al. 1993</a>"
"216","Clupea harengus","Atlantic herring","Unsexed",NA,268,"TL","Canada","Georges Bank, 1986","<a href=http://fishbase.ca/references/FBRefSummary.php?id=92075 target='_blank' >Melvin et al. 2007</a>"
"217","Clupea harengus","Atlantic herring","Unsexed",NA,265,"TL","Canada","Georges Bank, 1987","<a href=http://fishbase.ca/references/FBRefSummary.php?id=92075 target='_blank' >Melvin et al. 2007</a>"
"218","Clupea harengus","Atlantic herring","Unsexed",NA,268,"TL","Canada","Georges Bank, 1988","<a href=http://fishbase.ca/references/FBRefSummary.php?id=92075 target='_blank' >Melvin et al. 2007</a>"
"219","Clupea harengus","Atlantic herring","Unsexed",NA,264,"TL","Canada","Georges Bank, 1989","<a href=http://fishbase.ca/references/FBRefSummary.php?id=92075 target='_blank' >Melvin et al. 2007</a>"
"220","Clupea harengus","Atlantic herring","Unsexed",NA,260,"TL","Canada","Georges Bank, 1990","<a href=http://fishbase.ca/references/FBRefSummary.php?id=92075 target='_blank' >Melvin et al. 2007</a>"
"221","Clupea harengus","Atlantic herring","Unsexed",NA,253,"TL","Canada","Georges Bank, 1991","<a href=http://fishbase.ca/references/FBRefSummary.php?id=92075 target='_blank' >Melvin et al. 2007</a>"
"222","Clupea harengus","Atlantic herring","Unsexed",NA,254,"TL","Canada","Georges Bank, 1992","<a href=http://fishbase.ca/references/FBRefSummary.php?id=92075 target='_blank' >Melvin et al. 2007</a>"
"223","Clupea harengus","Atlantic herring","Unsexed",NA,250,"TL","Canada","Georges Bank, 1994","<a href=http://fishbase.ca/references/FBRefSummary.php?id=92075 target='_blank' >Melvin et al. 2007</a>"
"224","Clupea harengus","Atlantic herring","Unsexed",NA,251,"TL","Canada","Georges Bank, 1995","<a href=http://fishbase.ca/references/FBRefSummary.php?id=92075 target='_blank' >Melvin et al. 2007</a>"
