	English.Common.Name	French.Common.Name	Scientific.Name	Group.s.	Screen.Area.Coefficient	Approach.Velocity
175	Red River Shiner	Red River shiner	Notropis bairdi	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
176	Central Stoneroller	Roule-caillou	Campostoma anomalum	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
177	Atlantic Salmon	Saumon Atlantique	Salmo salar	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
178	Chinook Salmon	Saumon chinook	Oncorhynchus tshawytscha	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
179	Coho Salmon	Saumon coho	Oncorhynchus kisutch	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
180	Brook Trout	Saumon de fontaine	Salvelinus fontinalis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
181	Chum Salmon	Saumon keta	Oncorhynchus keta	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
182	Pink Salmon	Saumon rose	Oncorhynchus gorbuscha	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
183	Sockeye Salmon	Saumon rouge	Oncorhynchus nerka	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
184	Northern Pike Minnow	Sauvagesse du nord	Ptychocheilus oregonensis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
185	Speckled Dace	seux moucheté	Rhinichthys osculus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
186	Bonytail	Squalius moreoticus	Gila elegans	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
187	Tench	Tanche	Tinca tinca	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
188	Fathead Minnow	Tête de boule	Pimephales promelas	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
189	Rosyface Shiner	Tête rose	Notropis rubellus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
190	Lake Trout	Touladi	Salvelinus namaycush	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
191	Rainbow Trout	Truite arc-en-ciel	Oncorhynchus mykiss	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
192	Brown Trout	Truite commune	Salmo trutta	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
193	Cutthroat Trout	Truite fardée	Oncorhynchus clarkii	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
194	Central Mudminnow	Umbre de vase	Umbra limi	Herring; Sturgeon	0.01217	0.082
195	Common Dace	Vandoise	Leuciscus leuciscus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
196	Finescale Dace	Ventre citron	Chrosomus neogaeus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
197	Northern Redbelly Dace	Ventre rouge du nord	Chrosomus eos	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
198	Bigmouth Shiner		Notropis dorsalis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
199	Black Redhorse		Moxostoma duquesnei	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
200	Blackfin Cisco		Coregonus nigripinnis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
201	Blackside Darter		Percina maculata	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
202	Bloater		Coregonus hoyi	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
203	Bluntnose Minnow		Pimephales notatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
204	Brindled Madtom		Noturus miurus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
205	Chiselmouth		Acrocheilus alutaceus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
206	Copper Redhorse		Moxostoma hubbsi	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
207	Deepwater Cisco		Coregonus johannae	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
208	Golden Redhorse		Moxostoma erythrurum	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
209	Grass Pickerel		Esox americanus vermiculatus	Pike	0.0186	0.055
210	Green Sunfish		Lepomis cyanellus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
211	Greenside Darter		Etheostoma blennioides	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
212	Hornyhead Chub		Nocomis biguttatus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
213	Kiyi		Coregonus kiyi	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
214	Lake Chubsucker		Erimyzon sucetta	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
215	Least Darter		Etheostoma microperca	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
216	Northern Hog Sucker		Hypentelium nigricans	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
217	Pugnose Minnow		Opsopoeodus emiliae	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
218	Pugnose Shiner		Notropis anogenus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
219	River Chub		Nocomis micropogon	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
220	River Darter		Percina shumardi	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
221	River Shiner		Notropis blennius	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
222	Silver Chub		Macrhybopsis?storeriana	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
223	Southern Leatherside Chub		Lepidomeda aliciae	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
224	Splittail		Pogonichthys macrolepidotus	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
225	Spotted Sucker		Minytrema melanops	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
226	Texas Shiner		Notropis amabilis	Catfish & Sunfish; Salmon & Walleye	0.01019	0.098
227	Tiger Muskellunge		Esox lucius ? masquinongy	Pike	0.0186	0.055
