ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,URL
Sander canadensis,Sauger,Doré noir,,,283,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Petromyzon marinus,Sea Lamprey,Lamproie marine,Female,,470,TL,United States,"Cheboygan & Manistique rivers, Michigan",Di Rocco et al. 2016,https://doi.org/10.1111/fme.12198
Petromyzon marinus,Sea Lamprey,Lamproie marine,Female,,470,TL,Canada,"St. Marys River, Sault Ste. Marie, Ontario",Di Rocco et al. 2016,https://doi.org/10.1111/fme.12198
Petromyzon marinus,Sea Lamprey,Lamproie marine,Male,,469,TL,United States,"Cheboygan & Manistique rivers, Michigan",Di Rocco et al. 2016,https://doi.org/10.1111/fme.12198
Petromyzon marinus,Sea Lamprey,Lamproie marine,Mixed,,470,TL,Canada,"St. Marys River, Sault Ste. Marie, Ontario",Di Rocco et al. 2016,https://doi.org/10.1111/fme.12198
Petromyzon marinus,Sea Lamprey,Lamproie marine,Mixed,,492,TL,United States,"Cheboygan, Ocqueoc & Manistique rivers, Michigan",Di Rocco et al. 2014,https://doi.org/10.1139/cjfas-2013-0381
Petromyzon marinus,Sea Lamprey,Lamproie marine,Mixed,,477,TL,Canada,"St. Marys River, Sault Ste. Marie, Ontario",Di Rocco et al. 2014,https://doi.org/10.1139/cjfas-2013-0381
Moxostoma macrolepidotum,Shorthead Redhorse,Chevalier rouge,,,195,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Cottus confusus,Shorthead Sculpin,Chabot à tête courte,,60,65,,Canada,"Flathead River, British Columbia",Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Coregonus zenithicus,Shortjaw Cisco,Cisco à mâchoires égales,,,277,TL,,Lake Superior,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Acipenser brevirostrum,Shortnose Sturgeon,Esturgeon à museau court,Female,,550,FL,Canada,,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
Moxostoma anisurum,Silver Redhorse,Chevalier blanc,,,391,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Notropis photogenis,Silver Shiner,,,,57,SL,Canada,Ontario,"McKee and Parker, 1982",https://doi.org/10.1139/z82-182
Cottus cognatus,Slimy Sculpin,Chabot visqueux,,,63,,,,Minns et al. 1993,http://fishbase.us/references/FBRefSummary.php?id=58584
Micropterus dolomieu,Smallmouth Bass,Achigan à petite bouche,,,264,SL,,,Portt et al. 1988,http://science-catalogue.canada.ca/record=b3896533~S6
Oncorhynchus nerka,Sockeye Salmon,Saumon rouge,,203,216,,Canada,Northern British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Oncorhynchus nerka,Sockeye Salmon,Saumon rouge,,305,343,,Canada,Southern British Columbia,"Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Oncorhynchus nerka,Sockeye Salmon,Saumon rouge,,160,220,,Canada,"Kootenay Lake, British Columbia","Scott and Crossman, 1973",http://www.fishbase.org/References/FBRefSummary.php?id=114745
Rhinichthys osculus,Speckled Dace,Seux moucheté,,,45,,Canada,British Columbia,Coker et al. 2001,http://fishbase.us/references/FBRefSummary.php?id=52559
